timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/06/09 13:34:59.242, 0 %, 0 %, 4 MiB
2026/06/09 13:35:00.242, 0 %, 0 %, 4 MiB
2026/06/09 13:35:01.243, 0 %, 0 %, 4 MiB
2026/06/09 13:35:02.243, 0 %, 0 %, 4 MiB
2026/06/09 13:35:03.243, 4 %, 1 %, 392 MiB
2026/06/09 13:35:04.244, 2 %, 0 %, 482 MiB
2026/06/09 13:35:05.244, 0 %, 0 %, 546 MiB
2026/06/09 13:35:06.245, 16 %, 0 %, 876 MiB
2026/06/09 13:35:07.245, 0 %, 0 %, 1046 MiB
2026/06/09 13:35:08.245, 0 %, 0 %, 1046 MiB
2026/06/09 13:35:09.246, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:10.246, 50 %, 20 %, 1060 MiB
2026/06/09 13:35:11.246, 53 %, 21 %, 1060 MiB
2026/06/09 13:35:12.247, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:13.247, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:14.247, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:15.248, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:16.248, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:17.248, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:18.248, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:19.249, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:20.249, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:21.249, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:22.250, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:23.250, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:24.250, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:25.251, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:26.251, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:27.251, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:28.251, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:29.252, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:30.252, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:31.252, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:32.253, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:33.253, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:34.253, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:35.253, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:36.254, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:37.254, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:38.255, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:39.255, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:40.255, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:41.255, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:42.256, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:43.256, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:44.256, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:45.257, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:46.257, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:47.257, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:48.258, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:49.258, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:50.258, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:51.258, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:52.259, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:53.259, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:54.259, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:55.260, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:56.260, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:57.260, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:58.261, 0 %, 0 %, 1060 MiB
2026/06/09 13:35:59.261, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:00.261, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:01.261, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:02.262, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:03.262, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:04.262, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:05.263, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:06.263, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:07.263, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:08.263, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:09.264, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:10.264, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:11.264, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:12.265, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:13.265, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:14.265, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:15.265, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:16.266, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:17.266, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:18.267, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:19.267, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:20.268, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:21.268, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:22.268, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:23.268, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:24.269, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:25.269, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:26.269, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:27.270, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:28.270, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:29.270, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:30.271, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:31.271, 31 %, 13 %, 1060 MiB
2026/06/09 13:36:32.271, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:33.272, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:34.272, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:35.272, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:36.273, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:37.273, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:38.273, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:39.274, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:40.274, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:41.274, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:42.275, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:43.275, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:44.275, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:45.276, 51 %, 20 %, 1060 MiB
2026/06/09 13:36:46.276, 45 %, 18 %, 1060 MiB
2026/06/09 13:36:47.276, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:48.277, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:49.277, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:50.277, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:51.278, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:52.278, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:53.278, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:54.279, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:55.279, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:56.279, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:57.280, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:58.280, 0 %, 0 %, 1060 MiB
2026/06/09 13:36:59.280, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:00.281, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:01.281, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:02.281, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:03.282, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:04.282, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:05.282, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:06.283, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:07.283, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:08.283, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:09.284, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:10.284, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:11.284, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:12.285, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:13.285, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:14.285, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:15.285, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:16.286, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:17.286, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:18.286, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:19.287, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:20.287, 0 %, 0 %, 1060 MiB
2026/06/09 13:37:21.287, 0 %, 0 %, 1060 MiB
